Date of Sale (dd/mm/yyyy),Address,Postal Code,County, Price ,Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
28/03/2018,"24 Park Crescent, Hansfield Wood, Hansfield",Dublin 15,Dublin,295154.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"24 TURVEY VILLAS, DONABATE, DUBLIN",,Dublin,220000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"24 WINDMILL PARK, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,206851.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"24 WOODLAWN PARK, MOUNTTOWN, DUN LAOGHAIRE",,Dublin,540000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"25 Birch House, Silverbanks The Coast, Baldoyle",Dublin 13,Dublin,165000.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"25 CYPRESS GROVE SOUTH, DUBLIN 6W, DUBLIN",,Dublin,652500.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"25 QUILTY HOUSE, CLARE HALL, MALAHIDE RD DUBLIN 17",Dublin 17,Dublin,215000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"26 THE AVENUE, SCHOLARSTOWN WOOD, SCHOLARSTOWN",Dublin 16,Dublin,480000.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
28/03/2018,"27 Birch House, Silverbanks The Coast, Baldoyle",,Dublin,160000.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"27 Park Crescent, Hansfield Wood, Hansfield",Dublin 15,Dublin,286344.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"29 TAMARISK HEIGHTS, KILNAMANAGH, DUBLIN 24",Dublin 24,Dublin,313000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"29 The Avenue, Hansfield Wood, Hansfield",Dublin 15,Dublin,334801.76,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"3 CASTLE ELMS, GREENCASTLE RD, COOLOCK DUBLIN 17",Dublin 17,Dublin,223000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"30 Orwell Place, Block B, Marianella",Dublin 6,Dublin,502202.64,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"30 SPRINGFIELD PARK, FOXROCK, DUBLIN 18",Dublin 18,Dublin,650000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"32 HYDE PARK, DALKEY, DUBLIN",,Dublin,975000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"32 Park Crescent, Hansfield Wood, Hansfield",Dublin 15,Dublin,335000.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
28/03/2018,"32 ZION RD, RATGAR, DUBLIN 6",Dublin 6,Dublin,2150000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"33 Grace Park Grove, Grace Park Wood, Grace Park Road",Dublin 9,Dublin,440529.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"33 RATHBOURNE DRIVE, EARLSWOOD, ASHTOWN RIVER RD",Dublin 15,Dublin,438000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"33 The Avenue, Hansfield Wood, Hansfield",Dublin 15,Dublin,339207.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"34 HOME VILLAS, DONNYBROOK, DUBLIN 4",,Dublin,442000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"34 JAMES CONNOLLY PARK, CLONDALKIN, DUBLIN 22",,Dublin,250000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"34B SMITHFIELD MARKET, SMITHFIELD, DUBLIN 7",Dublin 7,Dublin,405000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"35 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,235000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"39 AVONDALE AVE, PHIBSBOROUGH, DUBLIN 7",Dublin 7,Dublin,425000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"39 MERCHAMP, SEAFIELD RD EAST, CLONTARF DUBLIN 3",Dublin 3,Dublin,326000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"39 ST ASSAMS PARK, RAHENY, DUBLIN 5",Dublin 5,Dublin,640000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"4 Brambledown, Glenamuck Road, Carrickmines",,Dublin,610951.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
28/03/2018,"4 STRALEM TERRACE, ONGAR WOOD, DUBLIN 15",Dublin 15,Dublin,195000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"4 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,203693.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"4 WOODFORD PARADE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,230000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"40 Hamilton Hill, Barnageeragh Cove, Skerries",,Dublin,295154.19,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
28/03/2018,"41 LARKFIELD GARDENS, DUBLIN 6W, DUBLIN",,Dublin,402000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"41 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,206851.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"42 WILLINGTON DR, TEMPLEOGUE, DUBLIN 6W",,Dublin,475000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"44 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,219483.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"447 KILMAINHAM SQ, INCHICORE RD, DUBLIN 8",Dublin 8,Dublin,420000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"45 CEDAR BROOK WAY, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,165501.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"45 THE WALK, ROBSWALL, MALAHIDE",,Dublin,481000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"46 SEAFIELD COURT, RUSH, DUBLIN",,Dublin,180000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"47 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,225798.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"5 EL PINAR, KILGOBBIN RD, STEPASIDE DUBLIN 18",Dublin 18,Dublin,350000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"5 Orwell Place, Marianella, Rathgar",Dublin 6,Dublin,621145.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"5 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,225798.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"50 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,225798.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"51 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,206851.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"53 ADAIR, SANDYMOUNT AVE, SANDYMOUNT DUBLIN 4",Dublin 4,Dublin,205000.00,Yes,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"53 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,219483.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"54 ERRIS SQ BLOCK 5 CLUSTER 13, WATERVILLE, SNUGBOROUGH RD",Dublin 15,Dublin,267000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"56 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,206851.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"57 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,225798.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"58 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,206851.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"6 BROOKWOOD GROVE, ARTANE, DUBLIN 5",Dublin 5,Dublin,430000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"6 WINDMILL COURT, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,270000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"63 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"64 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"65 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"66 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"67 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"68 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,198941.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"69 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"7 BEAUMONT RD, BEAUMONT, DUBLIN 9",Dublin 9,Dublin,325000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"7 ELLENSBOROUGH CLOSE, KILLTIPPER RD, TALLAGHT",Dublin 24,Dublin,345000.00,Yes,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"7 WINDMILL PARK, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,225798.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"7 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,203693.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"70 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"71 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,179465.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"72 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"73 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"74 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"75 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,193377.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"76 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"78 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,193500.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"79 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,187812.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"8 Beresford Woods, Donabate",,Dublin,317180.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"8 CABRA DR, NTH CIRCULAR RD, DUBLIN 7",Dublin 7,Dublin,520000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"8 CLIFTON TERRACE, SEAPOINT AVE, MONKSTOWN",,Dublin,2200000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"8 TALBOT LODGE, GROVE AVE, BLACKROCK",,Dublin,1015000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"8 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,203693.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"8 WOODLAWN DR, SANTRY, DUBLIN 9",Dublin 17,Dublin,382000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"80 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,171118.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"81 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,171118.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"82 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"83 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"84 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"85 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,262890.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"86 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"87 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"88 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"89 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,179465.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"9 HILLVIEW MOUNT TALBOT, MONASTERY ROAD, CLONDALKIN",,Dublin,203000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"9 SERPENTINE AVE, DUBLIN 4, DUBLIN",Dublin 4,Dublin,891000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"9 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,206851.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"90 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,182248.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"91 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,165677.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"92 PORTERSFIELD, COOLMINE, DUBLIN 15",Dublin 15,Dublin,225000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"92 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,193377.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"93 Ash House, Silverbanks The Coast, Baldoyle",Dublin 13,Dublin,255000.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"93 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,193377.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"94 WINDMILL TERRACE, PORTERSTOWN, DUBLIN 15",Dublin 15,Dublin,193377.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"Apartment 1 Greenbank House, Cualanor, Dun Laoghaire",,Dublin,308370.03,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/03/2018,"APT 1 - 13, 28 ELGIN RD, BALLSBRIDGE",Dublin 4,Dublin,2925000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"APT 24, 1 JERVIS ST, DUBLIN 1",Dublin 1,Dublin,160000.00,Yes,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"APT 26 BLOCK 4 ANNALY GROVE, ONGAR LODGE, ONGAR",Dublin 15,Dublin,239000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"APT 31, 25 WOLFE TONE ST, DUBLIN 1",Dublin 1,Dublin,15600.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"APT V, COLIEMORE APTS, COILEMORE RD DUBLIN 4",Dublin 4,Dublin,734000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"BLOCK A, 141 ADELAIDE SQ, WHITEFRIAR ST",Dublin 8,Dublin,375000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"DELVIN LODGE, GARRISTOWN, CO DUBLIN",,Dublin,191000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"HARLECH HOUSE, HARLECH DOWNS, GOATSTOWN RD DUBLIN 14",Dublin 14,Dublin,2180000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"LIMA, SANDY ROAD, RUSH",,Dublin,248000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"MEEGANS FARMHOUSE, MEEGANS LANE, SAGGART",Dublin 24,Dublin,200000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"NO 27 THE HOLLY, ROCKFIELD, DUNDRUM",,Dublin,366000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"SHADEY LANE, MILVERTON, SKERRIES",,Dublin,1050000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"STRAIDE HOUSE, 2 AILESBURY DR, DUBLIN 4",Dublin 4,Dublin,2875000.00,No,No,Second-Hand Dwelling house /Apartment,
28/03/2018,"Unit 58 Main Street, Belmayne, Balgriffin",Dublin 13,Dublin,91739.25,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"1 DUN EMER DR, LUSK, DUBLIN",,Dublin,268000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"1 GLENWOOD RD, RAHENY, DUBLIN 5",Dublin 5,Dublin,300000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"1 KILLINEY TERRACE, BREFFNI RD, SANDYCOVE",,Dublin,1100000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"1 St. Edmunds Green, St. Lomans, Palmerstown",Dublin 20,Dublin,340000.00,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"10 Beresford Woods, Donabate",,Dublin,317180.61,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"10 BROOKWOOD PARK, KILLESTER, DUBLIN 5",Dublin 5,Dublin,545000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"106 SHANAGARRY, MILLTOWN RD, MILLTOWN DUBLIN 6",Dublin 6,Dublin,485000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"107 SHANAGARRY, MILLTOWN RD, MILLTOWN DUBLIN 6",Dublin 6,Dublin,500000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"11 CHURCH SQ, CHURCH RD, EAST WALL",Dublin 3,Dublin,295000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"11 Cuil Duin Walk, Citywest",Dublin 24,Dublin,268722.46,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"11 KINGS WALK, BELLTREE, CLONGRIFFIN",Dublin 13,Dublin,303965.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"11 LOUGHSHINNY BAY, LOUGHSHINNY, SKERRIES",,Dublin,560000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"11 St. Edmunds Green, St. Lomans, Palmerstown",Dublin 20,Dublin,345000.00,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"110 SHANAGARRY, MILLTOWN RD, MILLTOWN DUBLIN 6",Dublin 6,Dublin,505000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"112 SEAPARK, MALAHIDE, CO DUBLIN",,Dublin,697500.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"12 GARRYNURE, MILLTOWN, DUBLIN 6",Dublin 6,Dublin,450000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"12 THE QUARRY, CARRICKHILL RD, UPPER PORTMARNOCK DUBLIN 8",Dublin 13,Dublin,275000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"13 CLYDE COURT, CLYDE ROAD, BALLSBRIDGE",Dublin 4,Dublin,507000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"13 Hollywoodrath Park, Hollystown, Dublin 15",Dublin 15,Dublin,435000.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"13 St. Edmunds Green, St. Lomans, Palmerstown",Dublin 20,Dublin,320000.00,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"14 Castleknock Cross, Old Navan Road, Castleknock",Dublin 15,Dublin,735682.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
29/03/2018,"14 INFIRMARY RD, ARBOUR HILL, DUBLIN 7",Dublin 7,Dublin,407000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"14 SORRELL HALL, TICKNOCK HILL, SANDYFORD",,Dublin,320000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"14 The Rise, St Marnocks Bay, Portmarnock",,Dublin,506599.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"142 BLACKHALL SQ, NORTH BRUNSWICK ST, DUBLIN 7",Dublin 7,Dublin,217000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"15 ROSMEEN GARDENS, DUN LAOGHAIRE, DUBLIN",,Dublin,615000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"15 St. Edmunds Green, St. Lomans, Palmerstown",Dublin 20,Dublin,345000.00,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"15 THE MAPLES, BIRD AVENUE, CLONSKEAGH",Dublin 14,Dublin,656000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"15A WARRINGTON PLACE, DUBLIN 2, DUBLIN",Dublin 2,Dublin,395000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"16 GLENVIEW DR, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,282000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"16 TREESDALE, STILLORGAN, DUBLIN",,Dublin,690000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"17 STILLORGAN WOOD, BLACKROCK, DUBLIN",,Dublin,637500.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"170 SOUTH CIRCULAR RD, DUBLIN 8, DUBLIN",Dublin 8,Dublin,700000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"173 PACE VIEW, LITTLEPACE, DUBLIN",Dublin 15,Dublin,325000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"176 SOUTH CIRCULAR ROAD, DUBLIN 8",,Dublin,230000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"179C ARAS NA CLUAINE, YELLOW MEADOWS ROAD, CLONDALKIN",Dublin 22,Dublin,164000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"18 BARTON RD EAST, CHURCHTOWN, DUBLIN 14",Dublin 14,Dublin,540000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"18 Comyn Manor, Seatown Road, Swords",,Dublin,341463.41,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
29/03/2018,"18 MIMOSA HALL, THE GALLOPS, DUBLIN 18",Dublin 18,Dublin,229000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"18 Shackleton Way, Shackleton Park, Lucan",,Dublin,281938.33,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"18 TURLOGH GARDENS, FAIRVIEW, DUBLIN 3",Dublin 3,Dublin,530000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"18 WINDMILL CRESCENT, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,388000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"19 HOLLYBANK RD, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,640000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"19 Shackleton Way, Shackleton Park, Lucan",,Dublin,343612.32,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"19 SHELMARTIN AVE, MARINO, DUBLIN 3",Dublin 3,Dublin,459000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"2 CLYDE COURT, CLYDE ROAD, DUBLIN 4",Dublin 4,Dublin,430000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"2 Drimnagh View, Loughshinny",,Dublin,495000.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
29/03/2018,"2 ESTUARY WALK, MALAHIDE, DUBLIN",,Dublin,445000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"2 GROVE HOUSE, SALEM COURT, MAXWELL RD DUBLIN 6",Dublin 6,Dublin,200000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"2 THE NURSERIES, BALLYBRACK, DUBLIN",,Dublin,420000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"20 BEECHFIELD MEADOWS, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,230000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"20 CLOISTER WAY, BLACKROCK, DUBLIN",,Dublin,760000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"20 THE HEIGHTS, ROBSWALL, MALAHIDE",,Dublin,605000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"204 PHILIPSBURGH AVE, FAIRVIEW, DUBLIN 3",Dublin 3,Dublin,625000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"21 PROSPECT AVENUE, PROSPECT MANOR, RATHFARNHAN",Dublin 16,Dublin,415000.00,No,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"22 CLONSHAUGH CLOSE, CLONSHAUGH, DUBLIN",Dublin 17,Dublin,285000.00,No,No,Second-Hand Dwelling house /Apartment,
